Messier,NGC,Object_Type,Magnitude,Constellation,Distance,Dimensions,Discoverer,Year,Name
M1,NGC 1952,Supernova remnant,8,Taurus,6500,24.0,Bévis,1731,Crab Nebula
M2,NGC 7089,Globular Cluster,6,Aquarius,55000,136.89,Maraldi,1746,
M3,NGC 5272,Globular Cluster,6,Canes Venatici,48500,345.96,Messier,1764,
M4,NGC 6121,Globular Cluster,5,Scorpius,9900,519.84,Chéseaux,1746,
M5,NGC 5904,Globular Cluster,5,Serpens,24800,396.01,Kirch,1702,
M6,NGC 6504,Open Cluster,4,Scorpius,1300,225.0,Hodierna,1654,Butterfly Cluster
M7,NGC 6475,Open Cluster,3,Scorpius,780,900.0,Ptolémée,No Establecido,Ptolemy Cluster
M8,NGC 6523,Emission Nebula,5,Sagittarius,4850,3600.0,Flamsteed,1680,Lagoon Nebula
M9,NGC 6333,Globular Cluster,7,Ophiuchus,25800,30.25,Messier,1764,
M10,NGC 6254,Globular Cluster,6,Ophiuchus,16300,148.84,Messier,1764,
M11,NGC 6705,Open Cluster,5,Scutum,5600,196.0,Kirch,1681,Wild Duck Cluster
M12,NGC 6218,Globular Cluster,6,Ophiuchus,18900,148.84,Messier,1764,
M13,NGC 6205,Globular Cluster,5,Hercules,23500,538.24,Halley,1714,Hercules Globular Cluster
M14,NGC 6402,Globular Cluster,7,Ophiuchus,24000,44.89,Messier,1764,
M15,NGC 7078,Globular Cluster,6,Pegasus,49500,151.29,Maraldi,1746,
M16,NGC 6611,Emission Nebula,6,Serpens,5870,625.0,Chéseaux,1746,Eagle Nebula Cluster
M17,NGC 6618,Emission Nebula,6,Sagittarius,5870,1575.0,Chéseaux,1746,Horseshoe Nebula
M18,NGC 6613,Open Cluster,6,Sagittarius,4900,81.0,Messier,1764,
M19,NGC 6273,Globular Cluster,7,Ophiuchus,22500,28.09,Messier,1764,
M20,NGC 6514,Emission Nebula,6,Sagittarius,2300,783.0,Le Gentil,1749,Trifid Nebula
M21,NGC 6531,Open Cluster,5,Sagittarius,4200,169.0,Messier,1764,
M22,NGC 6656,Globular Cluster,5,Sagittarius,7800,289.0,Ihle,1665,
M23,NGC 6494,Open Cluster,5,Sagittarius,2150,625.0,Messier,1764,
M24,NGC 6603,Open Cluster,11,Sagittarius,16000,2025.0,Messier,1764,Milky Way Patch
M25,IC4725,Open Cluster,4,Sagittarius,2060,1225.0,Chéseaux,1746,
M26,NGC 6694,Open Cluster,8,Scutum,5100,225.0,Le Gentil,1749,
M27,NGC 6853,Planetary Nebula,8,Vulpecula,980,121104.0,Messier,1764,Dumbbell Nebula
M28,NGC 6626,Globular Cluster,6,Sagittarius,19000,225.0,Messier,1764,
M29,NGC 6913,Open Cluster,6,Cygnus,4100,49.0,Messier,1764,
M30,NGC 7099,Globular Cluster,7,Capricornus,41000,79.21,Messier,1764,
