Messier,NGC,Object_Type,Magnitude,Constellation,Distance,Discoverer,Year,Name,Dimensions
M1,NGC 1952,Supernova remnant,8,Taurus,6500,Bévis,1731,Crab Nebula,24.0
M2,NGC 7089,Globular Cluster,6,Aquarius,55000,Maraldi,1746,,166.41
M3,NGC 5272,Globular Cluster,6,Canes Venatici,48500,Messier,1764,,262.44
M4,NGC 6121,Globular Cluster,5,Scorpius,9900,Chéseaux,1746,,691.69
M5,NGC 5904,Globular Cluster,5,Serpens,24800,Kirch,1702,,302.76
M6,NGC 6504,Open Cluster,4,Scorpius,1300,Hodierna,1654,Butterfly Cluster,625.0
M7,NGC 6475,Open Cluster,3,Scorpius,780,Ptolémée,No Establecido,Ptolemy Cluster,6400.0
M8,NGC 6523,Emission Nebula,5,Sagittarius,4850,Flamsteed,1680,Lagoon Nebula,3600.0
M9,NGC 6333,Globular Cluster,7,Ophiuchus,25800,Messier,1764,,86.49
M10,NGC 6254,Globular Cluster,6,Ophiuchus,16300,Messier,1764,,228.01
M11,NGC 6705,Open Cluster,5,Scutum,5600,Kirch,1681,Wild Duck Cluster,196.0
M12,NGC 6218,Globular Cluster,6,Ophiuchus,18900,Messier,1764,,210.25
M13,NGC 6205,Globular Cluster,5,Hercules,23500,Halley,1714,Hercules Globular Cluster,275.56
M14,NGC 6402,Globular Cluster,7,Ophiuchus,24000,Messier,1764,,136.89
M15,NGC 7078,Globular Cluster,6,Pegasus,49500,Maraldi,1746,,151.29
M16,NGC 6611,Emission Nebula,6,Serpens,5870,Chéseaux,1746,Eagle Nebula Cluster,49.0
M17,NGC 6618,Emission Nebula,6,Sagittarius,5870,Chéseaux,1746,Horseshoe Nebula,121.0
M18,NGC 6613,Open Cluster,6,Sagittarius,4900,Messier,1764,,81.0
M19,NGC 6273,Globular Cluster,7,Ophiuchus,22500,Messier,1764,,182.25
M20,NGC 6514,Emission Nebula,6,Sagittarius,2300,Le Gentil,1749,Trifid Nebula,784.0
M21,NGC 6531,Open Cluster,5,Sagittarius,4200,Messier,1764,,169.0
M22,NGC 6656,Globular Cluster,5,Sagittarius,7800,Ihle,1665,,576.0
M23,NGC 6494,Open Cluster,5,Sagittarius,2150,Messier,1764,,729.0
M24,NGC 6603,Open Cluster,11,Sagittarius,16000,Messier,1764,Milky Way Patch,8100.0
M25,IC4725,Open Cluster,4,Sagittarius,2060,Chéseaux,1746,,1600.0
M26,NGC 6694,Open Cluster,8,Scutum,5100,Le Gentil,1749,,225.0
M27,NGC 6853,Planetary Nebula,8,Vulpecula,980,Messier,1764,Dumbbell Nebula,45.6
M28,NGC 6626,Globular Cluster,6,Sagittarius,19000,Messier,1764,,125.44
